AttrTypeId,AttrTypeName_raw,Value,Rarity,Subtype1,Subtype2
99,防御力,2,1,5,1
99,防御力,2,1,6,1
99,防御力,2,1,7,1
99,防御力,2,1,8,1
99,防御力,2,1,9,1
99,防御力,2,1,10,1
99,防御力,2,1,11,1
99,防御力,2,1,12,1
99,防御力,2,1,13,1
99,防御力,2,1,25,1
99,防御力,2,1,26,1
99,防御力,2,1,27,1
99,防御力,2,1,28,1
99,防御力,2,1,29,1
99,防御力,2,1,30,1
99,防御力,2,1,31,1
99,防御力,2,1,32,1
99,防御力,2,1,33,1
99,防御力,2,1,41,1
99,防御力,2,1,42,1
99,防御力,2,1,43,1
99,防御力,3,1,5,1
99,防御力,3,1,6,1
99,防御力,3,1,7,1
99,防御力,3,1,8,1
99,防御力,3,1,9,1
99,防御力,3,1,10,1
99,防御力,3,1,11,1
99,防御力,3,1,12,1
99,防御力,3,1,13,1
99,防御力,3,1,25,1
99,防御力,3,1,26,1
99,防御力,3,1,27,1
99,防御力,3,1,28,1
99,防御力,3,1,29,1
99,防御力,3,1,30,1
99,防御力,3,1,31,1
99,防御力,3,1,32,1
99,防御力,3,1,33,1
99,防御力,3,1,41,1
99,防御力,3,1,42,1
99,防御力,3,1,43,1
99,防御力,1,2,5,1
99,防御力,1,2,6,1
99,防御力,1,2,7,1
99,防御力,1,2,8,1
99,防御力,1,2,9,1
99,防御力,1,2,10,1
99,防御力,1,2,11,1
99,防御力,1,2,12,1
99,防御力,1,2,13,1
99,防御力,1,2,25,1
99,防御力,1,2,26,1
99,防御力,1,2,27,1
99,防御力,1,2,28,1
99,防御力,1,2,29,1
99,防御力,1,2,30,1
99,防御力,1,2,31,1
99,防御力,1,2,32,1
99,防御力,1,2,33,1
99,防御力,1,2,41,1
99,防御力,1,2,42,1
99,防御力,1,2,43,1
